district,address,Latitude,Longitude,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Huangpu,淮海中路526弄77号,31.21278,121.56217,2500,1,0,1,0,20,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,延庆路29弄21号,31.21278,121.56217,2500,1,0,1,0,15,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,武宁路2525弄21号,31.21278,121.56217,2500,1,0,0,0,18,0,public housing,residential,0,1,1,1,0,0,0,0,3
Jing'an,南京西路972弄986号,31.21278,121.56217,2500,1,0,1,0,15,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Huangpu,广东路392号,31.21278,121.56217,2500,1,0,1,0,10,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,永嘉路128号,31.21278,121.56217,2600,1,0,1,0,8,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,武定路890弄,31.21278,121.56217,2600,1,0,1,0,15,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,建国西路619弄10号,31.21278,121.56217,2700,1,0,1,0,15,0,detached lane house,residential,1,1,1,0,1,1,0,0,5
Jing'an,新乐路56弄,31.21278,121.56217,2700,1,1,1,0,20,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,南昌路136弄42号,31.21278,121.56217,2800,1,0,1,0,12,0,attached lane house,residential,1,0,0,0,0,0,0,0,1
Pudong,崂山新村121号,31.21278,121.56217,2800,1,1,1,0,32,0,public housing,residential,0,1,0,1,0,1,0,0,3
Huangpu,新昌路87弄43号,31.21278,121.56217,2800,1,0,1,0,15,0,public housing,residential,0,1,0,0,0,0,0,0,1
Jing'an,新闸路1380弄6号,31.21278,121.56217,2800,1,0,1,0,20,0,attached lane house,residential,1,1,0,1,1,1,0,0,5
Baoshan,联泰路63号,31.21278,121.56217,2800,1,1,1,0,28,0,villa,residential,0,0,0,0,1,0,0,0,1
Jing'an,陕西北路175弄6号,31.240223,121.444466,2800,1,0,1,0,13,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,延庆路72号,31.21278,121.56217,2800,1,0,1,0,15,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,大渡河路1262弄42号,31.21278,121.56217,2800,1,0,0,0,15,0,public housing,residential,0,1,0,1,0,0,0,0,2
Huangpu,南昌路178弄18号,31.21278,121.56217,2900,1,0,1,0,12,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Zhabei,闻喜路251弄14号,31.21278,121.56217,2900,1,1,1,0,41,0,public housing,residential,0,1,1,1,1,0,0,0,4
Putuo,真光路1433弄26号,31.21278,121.56217,2900,1,0,0,0,16,0,public housing,residential,0,1,1,1,0,0,0,0,3
Huangpu,新昌路120号,31.21278,121.56217,2900,1,0,1,0,15,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,梦花街73弄1号,31.21278,121.56217,3000,1,1,1,0,38,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,梦花街73弄1号,31.21278,121.56217,3000,2,0,1,0,52,0,attached lane house,residential,0,1,1,0,1,0,0,0,3
Huangpu,新昌路87弄43号,31.21278,121.56217,3000,1,0,1,0,12,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,新昌路87弄43号,31.21278,121.56217,3000,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,新昌路87弄43号,31.21278,121.56217,3000,1,0,1,0,15,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,新昌路87弄43号,31.21278,121.56217,3000,1,1,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,梦花街73弄1号,31.21278,121.56217,3000,1,1,1,0,38,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Jing'an,威海路830号,31.22542,121.456096,3000,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
