City,AQI,Precipitation,GDP,Temperature,Altitude,PopulationDensity,Coastal,GreenCoverageRate,"Incineration.Amount(10,000ton)"
Ngawa Prefecture,23,665.1,271.13,8.2,2617,11,0,36,23
Aksu City,137,80.4,610,12.27671233,1108,6547,0,33.94,23
Alxa League,85,150,322.58,24.2,1673,1,0,36,23
Ngari,28,74.2,37.4,1,4280,1,0,36,23
Anqin City,79,2127.8,1613.2,17.29178082,13,2271,0,45.8,27.48
Anyang City,110,672.1,1884.48,15.35068493,71,4735,0,36.28,54.51
Anshan City,111,708,2326,11.41232877,49,2534,0,38.25,58.13
Macao SAR,44,2000,3358,22,40,20547,1,41,22
Bayannur City,53,188,887.43,3.7,1042,5093,0,35.12,15.98
Bazhong City,58,1198.9,501.34,16.9,443,2653,0,39.11,15.09
Bengbu City,96,910,1253.1,16.01369863,25,2599,0,38.48,29.61
Baotou City,45,262.9,3781.93,8.91369863,1065,2130,0,37,52.29
Baoji City,111,695,1788.59,14.83424658,567,5352,0,40.61,36.54
Baoding City,220,566.9,2757.8,13.25890411,17.2,4565,0,30.96,49.27
Baoshan City,56,1000,552,17.39178082,1673,4529,0,31,10.95
Beihai City,23,1670,892.1,24.61643836,21,458,1,27.45,24.74
Beijing City,296,458.9,22968.6,13.77260274,31.2,1292,0,34,686.67
Benxi City,63,900,1160,9.271232877,100,602,0,44.88,31.76
Binzhou City,142,564.8,2355.33,14.11643836,9,1110,0,42.92,27.99
Haozhou City,59,831,942.6,10.58695652,39,3693,0,41.32,17.66
Cangzhiu City,105,581,3133.38,14.30273973,12,3169,1,42.9,24
Qamdo City,31,477.7,136,7.6,3230,5714,0,7.6,3.5
Changde City,69,1550,2709.02,17.93287671,38,2366,0,36.26,26.81
Changshu City,51,1615.3,2100,17.27534247,7,1200,0,42.37,28.61
Changzhou City,116,1450.9,5273.15,16.9739726,3,2399,0,42.47,76.48
Chaohu City,22,1215,273.1,16.82876712,13,7708,0,42.93,13.5
Chaoyang City,224,450,780,13.72739726,168,1022,0,40.57,33
Chaozhou City,106,1685.8,910.1,23.19589041,18,3503,0,32.16,51.94
Chenzhou City,49,1452.1,2012.07,19.67808219,189,1081,0,39.56,21.78
Chengdu City,118,873.3,10912.17,18.22191781,485,6116,0,39.84,273.55
Chengde City,195,440.5,1342.55,10.08219178,325,89,0,33,30
Chizhou City,40,1959.4,530.6,17.30547945,18,1199,0,36.51,14.06
Chifeng City,91,374,1861.27,8.434246575,587,1754,0,42.2,42.03
Chuzhou City,63,1035,1305.7,15.50273973,31,1456,0,47.17,12.57
Chuxiong Prefecture,44,900,762.97,14.8,1777,5574,0,36.15,10.95
Dazhou City,86,1086.1,1353.67,18.75205479,306,974,0,29.57,23.12
Dali City,39,1768.9,901.07,16.4,2007,3515,0,37.11,21.5
Dalian City,132,601.9,7700,12.40273973,29,2820,1,19.38,122.81
