Country,HDI.rank,hdi.score,Population (millions),Est Population 2030 (millions),Life expectancy at birth,Expected years of schooling,Mean years of schooling,gdp.capita,Trade (% GDP),Foreign Investment (% GDP),Net Migration (per 1000),Tourists (000s),Internet Users (%),Mobile Phone (per 100),HDI rank,Avg Annual Growth (%),Urban-(%),Under age 5-(millions),Median age-(years),Young (0-14) per 100 adults (15-64),Old (65 and older)per 100 adults (15-64),Fertility Rate,Sex ratio at birth-(male to female births)
Afghanistan,171,0.47,31.3,43.5,60.4,9.3,3.2,1885.33,55.4,0.3,-2.6,,6.4,74.9,171,2.4,24.5,4.8,17,85.4,4.7,5,1.06
Albania,85,0.73,3.2,3.3,77.8,11.8,9.3,9942.86,87.9,9.7,-3.2,2857,60.1,105.5,85,0.3,56.6,0.2,33.5,28.1,16.3,1.8,1.08
Algeria,83,0.74,39.9,48.6,74.8,14,7.6,13054.31,63.4,0.8,-0.3,2634,18.1,93.3,83,1.8,75.5,4.6,27.5,42.4,7,2.8,1.05
Andorra,34,0.84,0.1,0.1,81.3,13.5,9.6,43977.79,,,,2335,95.9,82.6,34,0.8,,,,,,,
Angola,149,0.53,22.1,34.8,52.3,11.4,4.7,6821.69,96.5,-5.7,0.6,650,21.3,63.5,149,3.1,61.5,4.1,16.4,92.9,4.8,5.9,1.03
Antigua and Barbuda,58,0.78,0.1,0.1,76.1,14,9.2,20070.32,103.5,11.2,-0.1,244,64,120,58,1,29.8,0,30.9,35.2,10.4,2.1,1.03
Argentina,40,0.84,41.8,46.9,76.3,17.9,9.8,22049.59,29.3,1.9,-0.5,5571,64.7,158.7,40,0.9,93,3.4,31.6,36.7,17.3,2.2,1.04
Armenia,85,0.73,3,3,74.7,12.3,10.9,8123.56,75,3.5,-3.4,1084,46.3,115.9,85,0.2,64.2,0.2,33.4,29.2,15,1.7,1.14
Australia,2,0.93,23.6,28.3,82.4,20.2,13,42260.61,41,3.3,6.5,6382,84.6,131.2,2,1.3,89.6,1.6,37.4,29.1,22.7,1.9,1.06
Austria,23,0.89,8.5,9,81.4,15.7,10.8,43869.29,103.4,3.6,3.5,24800,81,151.9,23,0.4,68.3,0.4,43.3,21.6,27.9,1.5,1.06
Azerbaijan,78,0.75,9.5,10.5,70.8,11.9,11.2,16427.92,75.6,3.6,0,2130,61,110.9,78,1.1,54.4,0.8,30.4,30.8,7.8,1.9,1.15
Bahamas,55,0.79,0.4,0.4,75.4,12.6,10.9,21336.42,97.7,4.5,5.2,1364,76.9,71.4,55,1.4,84.8,0,32.5,29.4,11.7,1.9,1.06
Bahrain,45,0.82,1.3,1.6,76.6,14.4,9.4,38598.51,122.2,3,3.4,9163,91,173.3,45,1.7,88.9,0.1,30.2,28.3,3,2.1,1.04
Bangladesh,142,0.57,158.5,185.1,71.6,10,5.1,3191.5,46.3,1,-2.6,148,9.6,75.9,142,1.2,29.9,15.2,25.8,43.8,7.3,2.2,1.05
Barbados,57,0.79,0.3,0.3,75.6,15.4,10.5,12487.58,96.8,12.2,1.4,509,76.7,106.8,57,0.5,46,0,37.4,26.7,16.2,1.9,1.04
Belarus,50,0.8,9.3,8.5,71.3,15.7,12,16676.09,125.2,3.1,-0.2,137,59,122.5,50,-0.5,76.3,0.5,39.5,22.4,19.7,1.5,1.06
Belgium,21,0.89,11.1,11.7,80.8,16.3,11.3,41187,164.2,-0.6,2.7,7684,85,114.3,21,0.4,97.6,0.7,41.9,26.7,29,1.9,1.05
Belize,101,0.71,0.3,0.5,70,13.6,10.5,7613.91,127.2,5.5,4.6,294,38.7,50.7,101,2.4,44.2,0,23.7,52.1,6.5,2.7,1.03
Benin,166,0.48,10.6,15.5,59.6,11.1,3.3,1766.95,51.8,3.9,-0.2,231,5.3,101.7,166,2.7,46.9,1.7,18.6,76.7,5.3,4.9,1.04
Bhutan,132,0.61,0.8,0.9,69.5,12.6,3,7175.5,103.7,2.8,2.7,116,34.4,82.1,132,1.6,37.9,0.1,26.7,39.9,7.3,2.3,1.04
Bolivia (Plurinational State of),119,0.66,10.8,13.7,68.3,13.2,8.2,5760.08,81.4,5.7,-2.4,798,39,96.3,119,1.6,68.1,1.3,22.8,56.1,8.3,3.3,1.05
Bosnia and Herzegovina,85,0.73,3.8,3.7,76.5,13.6,8.3,9637.78,85,1.8,-0.3,529,60.8,91.3,85,-0.1,49.9,0.2,40.1,21.2,22.9,1.3,1.07
Botswana,106,0.7,2,2.3,64.5,12.5,8.9,16646.23,115,1.3,2,2145,18.5,167.3,106,0.9,63.6,0.2,22.8,52.3,6,2.6,1.03
Brazil,75,0.76,202,222.7,74.5,15.2,7.7,15174.97,27.6,3.6,-0.2,5813,57.6,139,75,0.8,85.4,14.7,31.2,33.6,11.6,1.8,1.05
Brunei Darussalam,31,0.86,0.4,0.5,78.8,14.5,8.8,72570.13,108.6,5.6,0.8,225,68.8,110.1,31,1.4,77.1,0,31.1,34.6,6.9,2,1.06
Bulgaria,59,0.78,7.2,6.2,74.2,14.4,10.6,15596.03,137.4,3.5,-1.4,6898,55.5,137.7,59,-0.8,74.8,0.3,43.4,21.2,30.1,1.5,1.06
Burkina Faso,183,0.4,17.4,26.6,58.7,7.8,1.4,1590.7,57.1,2.9,-1.5,218,9.4,71.7,183,2.8,29,3,17.3,85.6,4.6,5.7,1.05
Burundi,184,0.4,10.5,16.4,56.7,10.1,2.7,758.18,41.6,0.3,-0.4,142,1.4,30.5,184,3.2,11.8,2,17.6,85.3,4.5,6.1,1.03
Cabo Verde,122,0.65,0.5,0.6,73.3,13.5,4.7,6094.18,87.2,2.2,-6.9,503,40.3,121.8,122,0.8,64.9,0,25.2,42.4,7.9,2.3,1.03
Cambodia,143,0.55,15.4,19.1,68.4,10.9,4.4,2948.93,139.5,8.8,-2.3,4210,9,155.1,143,1.7,20.5,1.8,25,49,8.9,2.9,1.05
Cameroon,153,0.51,22.8,33.1,55.5,10.4,6,2803.41,49.6,1.1,-0.5,912,11,75.7,153,2.5,53.8,3.7,18.5,78.4,5.9,4.8,1.03
Canada,9,0.91,35.5,40.6,82,15.9,13,42155.01,61.9,3.9,6.3,16600,87.1,83,9,1,81,2,40.5,24.4,23.7,1.7,1.06
Central African Republic,187,0.35,4.7,6.3,50.7,7.2,4.2,580.73,33.4,0.1,0.4,71,4,31.4,187,2,39.8,0.7,20,68.7,6.7,4.4,1.03
Chad,185,0.39,13.2,20.9,51.6,7.4,1.9,2085.34,69.6,4,-1.9,100,2.5,39.8,185,3,22.1,2.5,15.9,96.3,4.8,6.3,1.03
Chile,42,0.83,17.8,19.8,81.7,15.2,9.8,21290.15,65.5,7.3,0.3,3576,72.4,133.3,42,0.9,89.8,1.2,33.7,29.9,15.3,1.8,1.04
China,90,0.73,1393.8,1453.3,75.8,13.1,7.5,12547.03,50.3,3.8,-0.2,55700,49.3,92.3,90,0.6,54.4,91,36,25.1,13.1,1.7,1.16
Colombia,97,0.72,48.9,57.2,74,13.5,7.3,12040.25,38,4.3,-0.5,2288,52.6,113.1,97,1.3,76.1,4.5,28.3,40.7,10,2.3,1.05
Comoros,159,0.5,0.8,1.1,63.3,11.5,4.6,1455.78,78.2,2.3,-2.8,19,7,50.9,159,2.4,28.3,0.1,19.1,75.1,5.1,4.7,1.05
Congo,136,0.59,4.6,6.8,62.3,11.1,6.1,6011.71,142.6,14.5,-2.1,297,,,136,2.6,64.9,0.8,18.7,78.5,6.3,5,1.03
Congo (Democratic Republic of the),176,0.43,69.4,103.7,58.7,9.8,6,680.47,74.7,5.2,-0.2,191,3,53.5,176,2.7,35.9,12.1,17.5,84.7,5.4,6,1.03
Costa Rica,69,0.77,4.9,5.8,79.4,13.9,8.4,13413.38,73.9,6.5,2.7,2428,49.4,143.8,69,1.4,66,0.4,30.6,32.5,10.8,1.8,1.05
Côte d'Ivoire,172,0.46,20.8,29.2,51.5,8.9,4.3,3171.29,91,1.2,0.5,289,14.6,106.3,172,2.3,53.5,3.3,19.1,73.4,5.7,4.9,1.03
Croatia,47,0.82,4.3,4,77.3,14.8,11,19409.49,85.4,1,-0.9,11000,68.6,104.4,47,-0.4,58.7,0.2,43.1,22,28.6,1.5,1.06
Cuba,67,0.77,11.3,10.8,79.4,13.8,11.5,7301.04,39.1,,-2.5,2829,30,22.5,67,-0.1,75.1,0.5,41.3,22.1,19.9,1.5,1.06
