StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2a#1_1_1,Q2a#1_1_2,Q2a#1_2_1,Q2a#1_2_2,Q2a#1_3_1,Q2a#1_3_2,Q2a#1_4_1,Q2a#1_4_2,Q2a#1_5_1,Q2a#1_5_2,Q2a#1_6_1,Q2a#1_6_2,Q2a#1_7_1,Q2a#1_7_2,Q2a#1_8_1,Q2a#1_8_2,Q2a#1_9_1,Q2a#1_9_2,Q2a#1_10_1,Q2a#1_10_2,Q2a#1_11_1,Q2a#1_11_2,Q2,Q3,Q4
8/25/2021 20:41,8/25/2021 20:44,0,152.3.34.111,100,141,1,8/25/2021 20:44,R_22ldRoMrbyADcS4,,,,,36.02290344,-78.9464035,anonymous,EN,160,,2,,2,1,1,,,,2,,1,,2,,2,,1,1,1,2,14,-12,16,-0.75
8/25/2021 20:41,8/25/2021 20:44,0,152.3.34.111,100,145,1,8/25/2021 20:44,R_1244MJFjk1hmKQv,,,,,36.02290344,-78.9464035,anonymous,EN,172.5,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,0,10,-10,10,-1
8/25/2021 20:42,8/25/2021 20:44,0,24.196.171.74,100,154,1,8/25/2021 20:44,R_30vKSKApsg7Ckv8,,,,,35.59469604,-82.55449677,anonymous,EN,173,,2,,2,,2,,2,,2,,2,,2,,2,1,,,1,1,17,-16,18,-0.888
8/25/2021 20:43,8/25/2021 20:44,0,152.3.34.111,100,105,1,8/25/2021 20:44,R_2tFrl6gnGxZAP0K,,,,,36.02290344,-78.9464035,anonymous,EN,160,,2,,2,,2,,2,,2,,2,,2,,2,,2,1,1,1,19,-18,20,-0.9
8/25/2021 20:42,8/25/2021 20:45,0,152.3.34.111,100,180,1,8/25/2021 20:45,R_2qa9ektyJrJ4kgA,,,,,36.02290344,-78.9464035,anonymous,EN,165,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,20,-20,20,-1
8/25/2021 20:41,8/25/2021 20:45,0,89.43.21.253,100,226,1,8/25/2021 20:45,R_3DtrZ91EFs8egH7,,,,,50.35560608,83.51089478,anonymous,EN,165,,2,,1,1,1,,2,1,1,1,1,,2,,2,1,1,1,1,5,14,9,19,0.47
8/25/2021 20:41,8/25/2021 20:45,0,152.3.34.111,100,236,1,8/25/2021 20:45,R_vksxcMcTQtY31ER,,,,,36.02290344,-78.9464035,anonymous,EN,160,,2,1,1,1,1,2,,1,1,2,,1,1,1,1,,2,2,,11,9,2,20,0.1
8/25/2021 20:43,8/25/2021 20:46,0,112.65.29.148,100,198,1,8/25/2021 20:46,R_3lsELvSJZrQHUzp,,,,,31.24650574,121.491394,anonymous,EN,182,,2,,2,,2,,2,,2,,2,1,1,,2,,2,,2,1,19,-18,20,-0.9
8/25/2021 20:42,8/25/2021 20:46,0,152.3.34.111,100,261,1,8/25/2021 20:46,R_ctBZclHhn2s2r1n,,,,,36.02290344,-78.9464035,anonymous,EN,176,,2,,2,,2,,1,,2,,2,,1,,2,,2,,2,,2,-18,20,-0.9
8/25/2021 20:43,8/25/2021 20:46,0,117.136.67.201,100,214,1,8/25/2021 20:46,R_085h3EWIS5y1JEl,,,,,31.04420471,121.4053955,anonymous,EN,189,0,2,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,19,18,20,0.9
