,exp,wks,bluecol,ind,south,smsa,married,sex,union,ed,black,lwage,wage
1,3,32,no,0,yes,no,yes,male,no,9,no,5.56068,259.9995759
2,4,43,no,0,yes,no,yes,male,no,9,no,5.72031,304.9994581
3,5,40,no,0,yes,no,yes,male,no,9,no,5.99645,401.9991604
4,6,39,no,0,yes,no,yes,male,no,9,no,5.99645,401.9991604
5,7,42,no,1,yes,no,yes,male,no,9,no,6.06146,429.0013218
6,8,35,no,1,yes,no,yes,male,no,9,no,6.17379,480.0018701
7,9,32,no,1,yes,no,yes,male,no,9,no,6.24417,515.0015962
8,30,34,yes,0,no,no,yes,male,no,11,no,6.16331,474.9977181
9,31,27,yes,0,no,no,yes,male,no,11,no,6.21461,500.0009508
10,32,33,yes,1,no,no,yes,male,yes,11,no,6.2634,525.0009121
11,33,30,yes,1,no,no,yes,male,no,11,no,6.54391,694.9987173
12,34,30,yes,1,no,no,yes,male,no,11,no,6.69703,809.9965594
13,35,37,yes,1,no,no,yes,male,no,11,no,6.79122,889.9986982
14,36,30,yes,1,no,no,yes,male,no,11,no,6.81564,912.0000091
15,6,50,yes,1,no,no,yes,male,yes,12,no,5.65249,285.0002336
16,7,51,yes,1,no,no,yes,male,yes,12,no,6.43615,623.9997701
17,8,50,yes,1,no,no,yes,male,yes,12,no,6.54822,698.0006263
18,9,52,yes,1,no,no,yes,male,yes,12,no,6.60259,737.0015535
19,10,52,yes,1,no,no,yes,male,yes,12,no,6.6958,809.0008761
20,11,52,yes,1,no,no,no,male,yes,12,no,6.77878,878.9956949
21,12,46,yes,1,no,no,no,male,yes,12,no,6.86066,953.9964974
22,31,52,yes,0,no,yes,no,female,no,10,yes,6.15698,472.0004788
23,32,46,yes,0,no,yes,no,female,no,10,yes,6.23832,511.997632
24,33,46,yes,0,no,yes,no,female,no,10,yes,6.30079,545.0022919
25,34,49,yes,0,no,yes,no,female,no,10,yes,6.35957,577.9977639
26,35,44,yes,0,no,yes,no,female,no,10,yes,6.46925,644.9997957
27,36,52,yes,0,no,yes,no,female,no,10,yes,6.56244,707.9971017
28,37,46,yes,0,no,yes,no,female,no,10,yes,6.62141,751.0032655
29,10,50,yes,0,no,no,yes,male,yes,16,no,6.43775,624.9989689
30,11,46,yes,0,no,no,yes,male,yes,16,no,6.62007,749.9975951
31,12,40,yes,0,no,no,yes,male,yes,16,no,6.63332,760.0011907
32,13,50,no,0,no,no,yes,male,no,16,no,6.98286,1077.997034
33,14,47,yes,0,no,yes,yes,male,no,16,no,7.04752,1150.003195
34,15,47,no,0,no,no,yes,male,no,16,no,7.31322,1499.999419
35,16,49,no,0,no,no,yes,male,no,16,no,7.29574,1474.007263
36,26,44,yes,1,no,yes,yes,male,no,12,no,6.90575,997.9967302
37,27,47,yes,1,no,yes,yes,male,no,12,no,6.90575,997.9967302
38,28,47,yes,1,no,yes,yes,male,no,12,no,6.90776,1000.004721
39,29,47,yes,1,no,yes,yes,male,no,12,no,7.00307,1100.004995
40,30,44,yes,1,no,yes,yes,male,no,12,no,7.06902,1174.995974
41,31,45,yes,1,no,yes,yes,male,no,12,no,7.52023,1844.991593
42,32,47,yes,1,no,yes,yes,male,no,12,no,7.33889,1539.002872
43,15,46,yes,0,no,no,yes,male,yes,12,no,6.1334,461.0009022
44,16,48,yes,0,no,no,yes,male,yes,12,no,6.17379,480.0018701
45,17,49,yes,0,no,no,yes,male,yes,12,no,6.21261,499.0019482
46,18,46,yes,0,no,no,yes,male,yes,12,no,6.31355,552.0010785
47,19,47,yes,0,no,no,yes,male,yes,12,no,6.37502,586.9971708
48,20,47,yes,0,no,no,yes,male,yes,12,no,6.44572,630.0001138
49,21,48,yes,0,no,no,yes,male,yes,12,no,6.52209,679.9980972
50,23,51,yes,1,yes,no,yes,male,yes,10,no,6.3315,561.9989604
51,24,50,yes,1,yes,no,yes,male,yes,10,no,6.40357,603.9974645
52,25,50,yes,1,yes,no,yes,male,yes,10,no,6.54391,694.9987173
53,26,50,yes,1,yes,no,yes,male,yes,10,no,6.56244,707.9971017
54,27,44,yes,1,no,yes,yes,male,yes,10,no,6.59167,728.9972794
55,28,51,yes,1,no,yes,yes,male,yes,10,no,6.81783,913.9994777
56,29,51,yes,1,no,yes,yes,male,yes,10,no,6.89163,984.0040373
57,3,50,no,0,yes,yes,yes,male,no,16,no,6.55108,699.9997655
58,4,48,no,0,yes,yes,yes,male,no,16,no,6.55108,699.9997655
59,5,50,no,0,yes,yes,yes,male,no,16,no,6.80239,899.995713
60,6,48,no,0,yes,yes,yes,male,no,16,no,6.90776,1000.004721
61,7,48,no,0,yes,yes,yes,male,no,16,no,7.09008,1200.003797
62,8,44,no,0,yes,yes,yes,male,no,16,no,7.17012,1300.000594
63,9,48,no,0,yes,yes,yes,male,no,16,no,7.20786,1350.000174
64,3,49,no,0,yes,yes,yes,male,no,16,no,6.39693,600.0002069
65,4,47,no,0,yes,yes,yes,male,no,16,no,6.43775,624.9989689
66,5,46,no,0,yes,yes,yes,male,no,16,no,6.43775,624.9989689
67,6,44,no,0,yes,yes,yes,male,no,16,no,6.43775,624.9989689
68,7,43,no,0,yes,yes,yes,male,no,16,no,6.52209,679.9980972
69,8,34,no,0,yes,yes,yes,male,no,16,no,6.61338,744.9968573
70,9,40,no,0,yes,yes,yes,male,no,16,no,6.73934,845.0028499
71,24,47,yes,0,no,yes,no,male,yes,12,no,6.65801,778.9991853
72,25,48,yes,0,no,yes,no,male,yes,12,no,6.72623,833.9971624
73,26,45,yes,0,no,yes,no,male,yes,12,no,6.80239,899.995713
74,27,45,yes,0,no,yes,yes,male,yes,12,no,6.90776,1000.004721
75,28,47,yes,0,no,yes,yes,male,yes,12,no,7.03966,1140.999601
76,29,17,yes,0,no,yes,yes,male,yes,12,no,7.12769,1245.995391
77,30,47,yes,0,no,yes,yes,male,yes,12,no,7.24423,1400.003478
78,21,47,yes,0,yes,yes,yes,male,yes,12,no,6.55108,699.9997655
79,22,46,yes,0,yes,yes,yes,male,yes,12,no,6.62936,756.9975372
80,23,47,yes,0,yes,yes,yes,male,yes,12,no,6.72263,831.0001705
81,24,47,yes,0,yes,yes,yes,male,yes,12,no,6.7334,839.9984109
82,25,47,yes,0,yes,yes,yes,male,yes,12,no,6.72263,831.0001705
83,26,47,yes,0,yes,yes,yes,male,yes,12,no,6.95177,1044.997738
84,27,46,yes,0,yes,yes,yes,male,yes,12,no,7.05272,1155.998787
85,26,48,yes,0,yes,yes,yes,male,no,12,no,6.90575,997.9967302
86,27,48,yes,0,yes,yes,yes,male,no,12,no,6.90073,992.9993406
87,28,50,yes,0,yes,yes,yes,male,no,12,no,7.17012,1300.000594
88,29,48,yes,0,yes,yes,yes,male,no,12,no,7.26543,1430.000396
89,30,48,yes,0,yes,yes,yes,male,no,12,no,7.25912,1421.005502
90,31,46,no,0,yes,yes,yes,male,no,12,no,7.25488,1414.993194
91,32,46,yes,0,yes,yes,yes,male,no,12,no,7.40001,1636.00079
92,15,45,no,0,yes,yes,yes,male,no,17,no,6.80239,899.995713
93,16,45,no,0,yes,yes,yes,male,no,17,no,6.80239,899.995713
94,17,45,no,0,yes,yes,yes,male,no,17,no,6.9256,1018.004889
95,18,44,no,0,yes,yes,yes,male,no,17,no,7.00307,1100.004995
96,19,44,no,0,yes,yes,yes,male,no,17,no,7.1309,1250.001462
97,20,44,no,0,yes,yes,yes,male,no,17,no,7.12448,1242.002158
98,21,44,no,0,yes,yes,yes,male,no,17,no,7.12287,1240.004143
99,9,50,no,0,no,no,no,female,no,14,no,5.94017,379.999524
100,10,46,no,0,no,no,no,female,no,14,no,5.86079,351.0013256
101,11,48,no,0,no,no,no,female,no,14,no,5.99894,403.0013855
102,12,46,no,0,no,no,no,female,no,14,no,6.0845,439.0002577
103,13,48,no,0,no,no,no,female,no,14,no,6.39526,598.9990427
104,14,41,no,0,no,no,no,female,no,14,no,6.47697,649.9984641
105,15,48,no,0,no,no,no,female,no,14,no,6.47697,649.9984641
106,16,50,yes,0,yes,yes,no,female,no,12,yes,5.97889,395.0016729
107,17,50,yes,0,yes,yes,no,female,no,12,yes,5.78383,325.0015657
108,18,48,yes,0,yes,yes,no,female,no,12,yes,5.85793,349.9988959
109,19,48,yes,0,yes,yes,no,female,no,12,yes,5.95324,384.9987163
110,20,50,yes,0,yes,yes,no,female,no,12,yes,6.14633,467.0003467
111,21,50,yes,0,yes,yes,no,female,no,12,yes,6.17587,481.0013131
112,22,49,yes,0,yes,yes,no,female,no,12,yes,6.38856,594.9991637
113,16,49,no,1,no,no,yes,male,no,14,no,6.62007,749.9975951
114,17,48,no,1,no,no,yes,male,no,14,no,6.49224,660.0001089
115,18,49,no,1,no,no,yes,male,no,14,no,6.77992,879.9983214
116,19,50,no,1,no,no,yes,male,no,14,no,6.74524,850.0031029
117,20,51,no,1,no,no,yes,male,no,14,no,7.09008,1200.003797
118,21,46,no,1,no,no,yes,male,no,14,no,7.1309,1250.001462
119,22,47,no,1,no,no,yes,male,no,14,no,7.1309,1250.001462
120,25,47,no,1,yes,yes,yes,male,no,16,no,6.90575,997.9967302
121,26,46,no,1,yes,yes,yes,male,no,16,no,6.90575,997.9967302
122,27,47,no,1,yes,yes,yes,male,no,16,no,7.6009,1999.995081
123,28,47,no,1,yes,yes,yes,male,no,16,no,7.64969,2099.99449
124,29,47,no,1,yes,yes,yes,male,no,16,no,7.71869,2250.010136
125,30,48,no,1,yes,yes,yes,male,no,16,no,7.78322,2399.990361
126,31,47,no,1,yes,yes,yes,male,no,16,no,7.80384,2449.991906
127,40,37,yes,1,no,yes,yes,male,yes,12,no,6.38688,594.0004043
128,41,49,yes,1,no,yes,yes,male,yes,12,no,6.47389,647.9995488
129,42,50,yes,1,no,yes,yes,male,yes,12,no,6.54247,693.9986394
130,43,47,yes,1,no,yes,yes,male,yes,12,no,6.67582,792.9974452
131,44,47,yes,1,no,yes,yes,male,yes,12,no,6.7417,846.9994116
132,45,25,yes,1,no,yes,yes,male,yes,12,no,6.83195,926.9966947
133,46,40,yes,1,no,yes,yes,male,yes,12,no,6.93634,1028.997185
134,25,50,no,0,no,no,yes,male,no,16,no,6.78333,883.0042379
135,26,49,no,1,no,no,yes,male,no,16,no,6.85751,950.9961365
136,27,49,no,1,no,no,yes,male,no,16,no,6.98472,1080.003974
137,28,48,no,1,no,no,yes,male,no,16,no,7.0579,1162.002397
138,29,48,no,1,no,no,yes,male,no,16,no,7.20564,1347.006497
139,30,49,no,1,no,no,yes,male,no,16,no,7.10988,1224.000657
140,31,48,no,1,no,no,yes,male,no,16,no,7.26683,1432.003798
141,28,42,yes,1,yes,no,yes,male,yes,4,no,6.05912,427.9986323
142,29,46,yes,1,yes,no,yes,male,yes,4,no,6.05209,425.0003532
143,30,49,yes,1,yes,no,yes,male,yes,4,no,5.99146,399.9981812
144,31,49,yes,1,yes,no,yes,male,yes,4,no,6.21461,500.0009508
145,32,48,yes,0,yes,no,yes,male,yes,4,no,6.32436,558.000579
146,33,45,yes,0,yes,no,yes,male,yes,4,no,6.44254,627.9998955
147,34,42,yes,1,yes,no,yes,male,yes,4,no,6.44254,627.9998955
148,20,46,no,0,no,no,yes,male,no,14,no,6.59987,734.9996331
149,21,45,no,0,no,no,yes,male,no,14,no,6.59987,734.9996331
150,22,44,no,0,no,no,yes,male,no,14,no,6.68461,799.9986179
151,23,46,no,0,no,no,yes,male,no,14,no,6.72743,834.9985598
152,24,47,no,0,no,no,yes,male,no,14,no,6.88244,975.0024658
153,25,51,no,1,no,no,yes,male,no,14,no,6.95655,1050.004785
154,26,47,no,0,no,no,yes,male,no,14,no,7.04752,1150.003195
155,11,50,no,0,no,yes,yes,male,no,16,no,6.90575,997.9967302
156,12,50,no,0,no,yes,yes,male,no,16,no,6.90575,997.9967302
157,13,51,no,0,no,yes,yes,male,no,16,no,7.49554,1799.996501
158,14,50,no,0,no,yes,yes,male,no,16,no,7.66153,2125.006202
159,15,48,no,0,no,yes,yes,male,no,16,no,7.86327,2600.008518
160,16,47,no,0,no,yes,yes,male,no,16,no,8.03916,3100.00809
161,17,50,no,0,no,yes,yes,male,no,16,no,7.89357,2679.994443
162,5,30,no,0,no,no,no,female,no,12,no,5.43808,230.0001589
163,6,51,no,0,no,no,no,female,no,12,no,5.52146,249.9997705
164,7,51,yes,0,no,no,no,female,no,12,no,5.57973,265.0000461
165,8,52,yes,0,no,no,no,female,no,12,no,5.66988,289.9997323
166,9,49,yes,0,no,no,no,female,no,12,no,5.73657,309.9992878
167,10,51,yes,0,no,no,no,female,yes,12,no,5.84354,344.9984761
168,11,50,yes,0,no,no,no,female,no,12,no,5.85793,349.9988959
169,8,37,no,0,no,yes,yes,male,yes,17,no,6.52942,685.0007958
170,9,39,no,0,no,yes,yes,male,yes,17,no,6.57925,719.9991274
171,10,40,no,0,no,yes,yes,male,yes,17,no,6.71538,824.9972063
172,11,38,no,0,no,yes,yes,male,yes,17,no,6.68461,799.9986179
173,12,38,no,0,no,yes,yes,male,yes,17,no,6.79122,889.9986982
174,13,39,no,0,no,yes,yes,male,yes,17,no,6.97541,1069.995798
175,14,41,no,0,no,yes,yes,male,yes,17,no,6.90776,1000.004721
176,14,48,no,1,yes,yes,yes,male,no,15,no,6.47697,649.9984641
177,15,47,yes,1,yes,yes,yes,male,no,15,no,6.55108,699.9997655
178,16,49,no,1,yes,yes,yes,male,no,15,no,6.86693,959.9968469
179,17,48,no,1,yes,yes,yes,male,no,15,no,6.85646,949.9981146
180,18,47,no,1,yes,yes,yes,male,no,15,no,7.27932,1450.001689
181,19,47,no,1,yes,yes,yes,male,no,15,no,7.54961,1900.001586
182,20,48,no,1,yes,yes,yes,male,no,15,no,7.36708,1583.004654
183,8,50,no,0,no,yes,no,male,no,16,no,6.01616,410.0011645
184,9,52,no,0,no,yes,no,male,no,16,no,6.90575,997.9967302
185,10,48,no,0,no,no,no,male,no,16,no,7.04752,1150.003195
186,11,50,no,0,no,no,no,male,no,16,no,7.26193,1425.004143
187,12,50,no,0,no,no,no,male,no,16,no,7.09008,1200.003797
188,13,45,no,0,no,no,no,male,no,16,no,6.96319,1057.000015
189,14,23,no,0,no,no,no,male,no,16,no,7.31322,1499.999419
190,26,50,yes,0,no,yes,yes,male,no,12,no,6.7334,839.9984109
191,27,50,yes,0,no,yes,yes,male,no,12,no,6.69703,809.9965594
192,28,50,yes,0,no,yes,yes,male,no,12,no,6.68461,799.9986179
193,29,50,yes,0,no,yes,yes,male,no,12,no,6.74524,850.0031029
194,30,50,yes,0,no,yes,yes,male,no,12,no,6.73102,838.0015918
195,31,49,yes,0,no,yes,yes,male,no,12,no,6.80239,899.995713
196,32,49,yes,0,no,yes,yes,male,no,12,no,6.74524,850.0031029
197,31,49,no,0,no,yes,yes,male,no,14,no,6.90575,997.9967302
198,32,49,no,0,no,yes,yes,male,no,14,no,6.90575,997.9967302
199,33,49,no,0,no,yes,yes,male,no,14,no,7.06219,1166.998095
200,34,49,no,0,no,yes,yes,male,no,14,no,7.57558,1949.990929
201,35,50,no,0,no,yes,yes,male,no,14,no,7.67322,2149.99329
202,36,49,no,0,no,yes,yes,male,no,14,no,7.47307,1760.001605
203,37,49,no,0,no,yes,yes,male,no,14,no,7.56008,1919.999107
204,17,47,no,0,yes,yes,no,female,no,12,no,6.19644,490.9979733
205,18,47,no,0,yes,yes,no,female,no,12,no,6.29895,544.0004097
206,19,48,no,0,yes,yes,no,female,no,12,no,6.3315,561.9989604
207,20,49,no,0,yes,yes,no,female,no,12,no,6.36303,580.0010999
208,21,49,no,0,yes,yes,no,female,no,12,no,6.48158,653.0018746
209,22,45,no,0,yes,yes,no,female,no,12,no,6.57786,718.9990238
210,23,49,no,0,yes,yes,no,female,no,12,no,6.64379,768.0002049
211,22,48,no,1,no,yes,yes,male,no,17,no,6.90575,997.9967302
212,23,48,no,1,no,yes,yes,male,no,17,no,6.90575,997.9967302
213,24,48,no,1,no,yes,yes,male,no,17,no,7.31322,1499.999419
214,25,47,no,1,no,yes,yes,male,no,17,no,7.24423,1400.003478
215,26,43,no,1,no,yes,yes,male,no,17,no,7.48437,1780.002415
216,27,47,no,0,no,yes,yes,male,no,17,no,7.54961,1900.001586
217,28,45,no,1,no,yes,yes,male,no,17,no,7.61332,2024.989916
218,30,50,no,1,no,yes,yes,male,no,16,no,6.90575,997.9967302
219,31,49,no,1,no,yes,yes,male,no,16,no,6.90575,997.9967302
220,32,49,no,1,no,yes,yes,male,no,16,no,7.46737,1749.998133
221,33,48,no,1,no,yes,yes,male,no,16,no,7.40853,1649.999065
222,34,49,no,1,no,yes,yes,male,no,16,no,7.60589,2009.999998
223,35,47,no,1,no,yes,yes,male,no,16,no,8.04879,3130.005373
224,36,47,no,1,no,yes,yes,male,no,16,no,7.74066,2299.989876
225,14,51,no,0,no,yes,yes,male,no,16,no,6.90575,997.9967302
226,15,47,no,0,no,yes,yes,male,no,16,no,6.90575,997.9967302
227,16,51,no,0,no,yes,yes,male,no,16,no,7.17012,1300.000594
228,17,47,no,0,no,yes,yes,male,no,16,no,7.27932,1450.001689
229,18,48,no,0,no,yes,yes,male,no,16,no,7.24065,1395.000427
